t,h,date,lon,lat,v,d_m,active_phases,time_interval
84.79999999999946,19.99238918308256,2023-07-01 12:01:24,-80.5139468161979,28.625253145256796,686.2455375828174,5083.2601661838125,['Phase_1'],"[[82.5, 84.8]]"
86.99999999999933,20.996877244698368,2023-07-01 12:01:26,-80.50644960673046,28.632750339329558,722.9669577323476,4862.248854610603,['Phase_1'],"[[84.8, 87.0]]"
89.09999999999921,21.9833052164335,2023-07-01 12:01:29,-80.49880619307481,28.640393733546595,759.1169684027732,4641.237543037394,['Phase_1'],"[[87.0, 89.1]]"
91.1999999999991,22.997274920360102,2023-07-01 12:01:31,-80.49067531730383,28.648524584035517,796.3366436391241,4641.237543037394,['Phase_1'],"[[89.1, 91.2]]"
93.19999999999898,23.989102566183895,2023-07-01 12:01:33,-80.48246765371648,28.656732216798734,832.7778356055597,4420.226231464185,['Phase_1'],"[[91.2, 93.2]]"
95.09999999999887,24.955439854301886,2023-07-01 12:01:35,-80.47424155043183,28.664958283338077,868.2960253134349,4199.214919890976,['Phase_1'],"[[93.2, 95.1]]"
97.09999999999876,25.998509364497956,2023-07-01 12:01:37,-80.46512108394175,28.674078701623454,906.6323959682891,4420.226231464185,['Phase_1'],"[[95.1, 97.1]]"
98.89999999999866,26.960393531680875,2023-07-01 12:01:38,-80.45649944359369,28.68270028858132,941.9704144652677,3978.2036083177663,['Phase_1'],"[[97.1, 98.9]]"
100.79999999999855,27.99993327244898,2023-07-01 12:01:40,-80.44696516786342,28.692234495698983,980.1347166208724,4199.214919890976,['Phase_1'],"[[98.9, 100.8]]"
102.49999999999845,28.951511625359974,2023-07-01 12:01:42,-80.43804949275948,28.701150096869025,1015.0378211056272,3757.192296744557,['Phase_1'],"[[100.8, 102.5]]"
104.29999999999835,29.98156010837817,2023-07-01 12:01:44,-80.42820522303957,28.71099427318653,1052.7782682623847,3978.2036083177663,['Phase_1'],"[[102.5, 104.3]]"
105.99999999999825,30.975999626449642,2023-07-01 12:01:45,-80.4185189622065,28.720680429242,1089.1689163318715,3757.192296744557,['Phase_1'],"[[104.3, 106.0]]"
107.69999999999816,31.991804828275892,2023-07-01 12:01:47,-80.40844782016958,28.730751447899504,1126.2920297362052,3757.192296744557,['Phase_1'],"[[106.0, 107.7]]"
109.29999999999806,32.96770349401262,2023-07-01 12:01:49,-80.39861118659756,28.740587945872782,1161.907353960682,3536.180985171348,['Phase_1'],"[[107.7, 109.3]]"
110.89999999999797,33.96316685104977,2023-07-01 12:01:50,-80.38842138868574,28.750777586654785,1198.1852995976299,3536.180985171348,['Phase_1'],"[[109.3, 110.9]]"
112.49999999999788,34.978514413360166,2023-07-01 12:01:52,-80.37787236269769,28.761326431091124,1235.1335877332817,3536.180985171348,['Phase_1'],"[[110.9, 112.5]]"
